A Arte da Procrastinacao;email@gmail.com;19.99;10;John Perry
It, a coisa;email@gmail.com;19.99;10;Stephen King
Carrie, a estranha;email@gmail.com;19.99;10;Stephen King
Sob a Redoma;email@gmail.com;19.99;10;Stephen King;Stephen King
Cemiterio Maldito;email@gmail.com;19.99;10;Stephen King
A Escolha dos Tres - Torre Negra 2;email@gmail.com;19.99;10;Stephen King
O Pistoleiro - Torre Negra 1;email@gmail.com;19.99;10;Stephen King
Terras Devastadas - Torre Negra 3;email@gmail.com;19.99;10;Stephen King
O Mago e o Vidro - Torre Negra 4;email@gmail.com;19.99;10;Stephen King
Lobos de Calla - Torre Negra 5;email@gmail.com;19.99;10;Stephen King
A Danca da Morte;email@gmail.com;19.99;10;Stephen King;Stephen King
Sombras da Noite;email@gmail.com;19.99;10;Stephen King
A Fascinante Construcao do Eu;email@gmail.com;19.99;10;Augusto Cury;Augusto Cury
Blink;email@gmail.com;19.99;10;Malcolm Gladwell
Scrum, Gestao Agil;email@gmail.com;19.99;10;Rafael Sabbagh
The Gift of Fear;email@gmail.com;19.99;10;Gavin de Becker
Fun Retrospectives;email@gmail.com;19.99;10;Paulo Caroli
O Sorriso da Hiena;email@gmail.com;19.99;10;Gustavo Avila
Mundo de Sofia;email@gmail.com;19.99;10;Jostein Gaarder
A Cabana;email@gmail.com;19.99;10;Willian Young
O Hobbit;email@gmail.com;19.99;10;JR Tolkien;JR Tolkien
Sociedade do Anel;email@gmail.com;19.99;10;JR Tolkien
As Duas Torres;email@gmail.com;19.99;10;JR Tolkien
Torre Negra;email@gmail.com;19.99;10;Stephen King
